Turno	FEN	Stockfish_Move	MCTS_Opinion	MCTS_4000
1	r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5	e5d4	e5d4,c5d4,c5e7,c5b6,c5d6	c5d4,e5d4,c5e7,c5b6,c5d6
2	r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 6	e4e5	c3d4,e4e5,f3d4	c3d4,e4e5,f3d4
3	r1bqk2r/pppp1ppp/2n2n2/2b1P3/2Bp4/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 6	d7d5	f6e4,d4c3,f6g4,f6d5,c6e5	d4c3,f6e4,c6e5,f6d5,f6g4
4	r1bqk2r/ppp2ppp/2n2n2/2bpP3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq d6 0 7	c4b5	c3d4,c4b3,e1g1,c4d5,c4d3,c4b5,e5f6	c3d4,c4b5,c4d3,c4d5,c4b3,e1g1,c4e2
5	r1bqk2r/ppp2ppp/2n2n2/1BbpP3/3p4/2P2N2/PP3PPP/RNBQK2R b KQkq - 1 7	f6e4	f6e4,d4c3,f6g4	f6e4,d4c3,f6g4
6	r1bqk2r/ppp2ppp/2n5/1BbpP3/3pn3/2P2N2/PP3PPP/RNBQK2R w KQkq - 2 8	c3d4	c3d4,f3d4,c3c4	c3d4,c3c4,f3d4
7	r1bqk2r/ppp2ppp/2n5/1BbpP3/3Pn3/5N2/PP3PPP/RNBQK2R b KQkq - 0 8	c5b6	c5b6,c5d6,c5e7	c5b6,c5e7,c5d6
8	r1bqk2r/ppp2ppp/1bn5/1B1pP3/3Pn3/5N2/PP3PPP/RNBQK2R w KQkq - 1 9	b1c3	e1g1,b5c6,c1e3,b1c3,d1c2,b1d2,d1b3	e1g1,b5c6,b1c3,c1e3,d1b3,d1c2,b1d2
9	r1bqk2r/ppp2ppp/1bn5/1B1pP3/3Pn3/2N2N2/PP3PPP/R1BQK2R b KQkq - 2 9	e8g8	e4c3,e4d2,e4c5,e4g5,e8g8	e4c3,e4c5,e8g8,e4g5,e4d2
10	r1bq1rk1/ppp2ppp/1bn5/1B1pP3/3Pn3/2N2N2/PP3PPP/R1BQK2R w KQ - 3 10	e1g1	e1g1,b5c6,c3d5,c3e2,c3a4,b5d3,c1e3	e1g1,b5c6,c3d5,c3e2,c3a4,c1e3,b5d3
11	r1bq1rk1/ppp2ppp/1bn5/1B1pP3/3Pn3/2N2N2/PP3PPP/R1BQ1RK1 b - - 4 10	c8g4	e4c3,c6e7,e4d2,c6d4,c6a5,e4d6,c8f5	e4c3,c6e7,c6d4,e4d2,c8f5,c6a5,e4d6
12	r2q1rk1/ppp2ppp/1bn5/1B1pP3/3Pn1b1/2N2N2/PP3PPP/R1BQ1RK1 w - - 5 11	b5c6	c1e3,b5c6,c3e2,f1e1,c1f4,c1g5,c3d5	c1e3,b5c6,c1f4,c3e2,c3d5,c1g5,d1b3
13	r2q1rk1/ppp2ppp/1bB5/3pP3/3Pn1b1/2N2N2/PP3PPP/R1BQ1RK1 b - - 0 11	b7c6	b7c6,a8c8,e4c3	b7c6,a8c8,e4c3
14	r2q1rk1/p1p2ppp/1bp5/3pP3/3Pn1b1/2N2N2/PP3PPP/R1BQ1RK1 w - - 0 12	d1d3	c3e4,d1e2,h2h3,c3e2,f1e1,c1e3,d1d3	c3e4,d1e2,h2h3,f1e1,c1e3,c3e2,c1f4
